Setting files loaded successfully !!!
Device being used for training : cuda:0
1281167
1281167
50000
50000
current lr 1.00000e-01
Epoch: [1][8400/10010]	Time 1.061 (1.097)	Data 0.666 (0.701)	Loss 4.3596 (5.3530)	Prec@1 14.062 (7.082)
Epoch: [1][8450/10010]	Time 1.056 (1.097)	Data 0.661 (0.701)	Loss 4.4227 (5.3474)	Prec@1 13.281 (7.131)
Epoch: [1][8500/10010]	Time 1.113 (1.097)	Data 0.717 (0.701)	Loss 3.9622 (5.3418)	Prec@1 17.188 (7.180)
Epoch: [1][8550/10010]	Time 1.063 (1.097)	Data 0.669 (0.701)	Loss 4.7269 (5.3360)	Prec@1 10.156 (7.227)
Epoch: [1][8600/10010]	Time 1.187 (1.097)	Data 0.792 (0.701)	Loss 4.2769 (5.3303)	Prec@1 16.406 (7.274)
Epoch: [1][8650/10010]	Time 1.272 (1.097)	Data 0.876 (0.701)	Loss 4.5657 (5.3248)	Prec@1 14.844 (7.320)
Epoch: [1][8700/10010]	Time 1.137 (1.097)	Data 0.741 (0.701)	Loss 4.0823 (5.3191)	Prec@1 17.969 (7.364)
Epoch: [1][8750/10010]	Time 1.125 (1.097)	Data 0.729 (0.701)	Loss 4.0958 (5.3133)	Prec@1 18.750 (7.411)
Epoch: [1][8800/10010]	Time 1.123 (1.097)	Data 0.727 (0.701)	Loss 4.1394 (5.3080)	Prec@1 20.312 (7.457)
Epoch: [1][8850/10010]	Time 1.074 (1.097)	Data 0.679 (0.701)	Loss 4.4004 (5.3026)	Prec@1 19.531 (7.499)
Epoch: [1][8900/10010]	Time 1.065 (1.097)	Data 0.668 (0.701)	Loss 4.1714 (5.2972)	Prec@1 15.625 (7.546)
Epoch: [1][8950/10010]	Time 1.106 (1.097)	Data 0.709 (0.701)	Loss 4.3979 (5.2918)	Prec@1 17.969 (7.590)
Epoch: [1][9000/10010]	Time 1.100 (1.097)	Data 0.704 (0.701)	Loss 4.3637 (5.2863)	Prec@1 17.188 (7.636)
Epoch: [1][9050/10010]	Time 1.061 (1.098)	Data 0.665 (0.701)	Loss 4.2671 (5.2809)	Prec@1 19.531 (7.687)
Epoch: [1][9100/10010]	Time 1.166 (1.098)	Data 0.770 (0.701)	Loss 4.3645 (5.2754)	Prec@1 17.969 (7.732)
Epoch: [1][9150/10010]	Time 1.159 (1.098)	Data 0.763 (0.701)	Loss 4.3412 (5.2700)	Prec@1 14.844 (7.777)
Epoch: [1][9200/10010]	Time 1.113 (1.098)	Data 0.718 (0.701)	Loss 4.3297 (5.2644)	Prec@1 10.156 (7.824)
Epoch: [1][9250/10010]	Time 1.088 (1.098)	Data 0.692 (0.701)	Loss 4.2663 (5.2594)	Prec@1 17.188 (7.869)
Epoch: [1][9300/10010]	Time 1.120 (1.098)	Data 0.723 (0.701)	Loss 4.3280 (5.2542)	Prec@1 14.844 (7.914)
